,user1,user2
0,100000,10
1,150000,1
2,100001,10074
3,150001,10123
4,100002,10142
5,150002,1020
6,100003,1033
7,150003,1028
8,100004,1036
9,150004,1039
10,100005,11
11,150005,1059
12,100006,1121
13,150006,1075
14,100007,1142
15,150007,1085
16,100008,1173
17,150008,1103
18,100009,1209
19,150009,1129
20,200000,10
21,250000,1
22,200001,10142
23,250001,1020
24,200002,1036
25,250002,1039
26,200003,1121
27,250003,1075
28,200004,1173
29,250004,1103
